epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,7730.3,0.844,0.72558,1.346,0.80679,0.68571,0.73237,0.40846,1.70312,1.15991,2.6888,0.0006042,0.0006042,0.0006042
123,7793.58,0.84027,0.71213,1.34556,0.80521,0.68798,0.7328,0.40866,1.70336,1.16074,2.69161,0.0005844,0.0005844,0.0005844
124,7857.05,0.8403,0.72117,1.34638,0.81499,0.6804,0.73133,0.40877,1.70353,1.16014,2.69482,0.0005646,0.0005646,0.0005646
125,7920.41,0.83747,0.71107,1.34461,0.81356,0.68076,0.73035,0.40839,1.7033,1.1601,2.69856,0.0005448,0.0005448,0.0005448
126,7983.73,0.83932,0.71869,1.3463,0.82295,0.67819,0.72976,0.408,1.704,1.1615,2.70151,0.000525,0.000525,0.000525
127,8047.05,0.83125,0.71559,1.33596,0.82126,0.67714,0.72973,0.40761,1.70401,1.16138,2.70413,0.0005052,0.0005052,0.0005052
128,8110.51,0.83492,0.71955,1.34096,0.82102,0.67616,0.72756,0.40762,1.70416,1.16145,2.70673,0.0004854,0.0004854,0.0004854
129,8173.88,0.83449,0.71149,1.33323,0.8195,0.67413,0.72748,0.4079,1.70445,1.1603,2.71035,0.0004656,0.0004656,0.0004656
130,8237.19,0.82473,0.70794,1.33674,0.81887,0.67403,0.72718,0.40741,1.70415,1.16054,2.71354,0.0004458,0.0004458,0.0004458
131,8300.44,0.8256,0.70186,1.3291,0.82089,0.67288,0.72676,0.40769,1.70554,1.1606,2.71813,0.000426,0.000426,0.000426
132,8363.92,0.81955,0.6996,1.3276,0.81519,0.67347,0.72648,0.40775,1.7048,1.16127,2.71886,0.0004062,0.0004062,0.0004062
133,8427.22,0.81764,0.69588,1.32669,0.80527,0.67958,0.72628,0.40783,1.70524,1.16014,2.72284,0.0003864,0.0003864,0.0003864
134,8490.49,0.82249,0.70136,1.32993,0.80611,0.67908,0.7264,0.40768,1.70631,1.15967,2.72643,0.0003666,0.0003666,0.0003666
135,8553.93,0.81091,0.6924,1.32321,0.80568,0.67869,0.72672,0.40811,1.7061,1.15828,2.72884,0.0003468,0.0003468,0.0003468
136,8617.17,0.80757,0.69095,1.31771,0.79543,0.6876,0.72752,0.40815,1.70699,1.15937,2.73188,0.000327,0.000327,0.000327
137,8680.57,0.80788,0.69001,1.3154,0.79405,0.68725,0.72747,0.40821,1.70653,1.15734,2.73397,0.0003072,0.0003072,0.0003072
138,8743.6,0.80775,0.69989,1.31814,0.79436,0.68646,0.72755,0.40797,1.70713,1.15502,2.73709,0.0002874,0.0002874,0.0002874
139,8806.88,0.8039,0.68504,1.30962,0.79022,0.68741,0.72754,0.40727,1.70767,1.15494,2.74041,0.0002676,0.0002676,0.0002676
140,8870.29,0.80336,0.68564,1.31139,0.80745,0.67456,0.72758,0.40706,1.70816,1.15474,2.74405,0.0002478,0.0002478,0.0002478
141,8933.97,0.65013,0.38983,1.26795,0.79027,0.68799,0.72818,0.40752,1.70879,1.15437,2.74788,0.000228,0.000228,0.000228
142,8997.09,0.63351,0.38273,1.25958,0.79212,0.68766,0.72827,0.40765,1.70922,1.15374,2.75154,0.0002082,0.0002082,0.0002082
143,9060.3,0.62497,0.37629,1.24451,0.79373,0.68593,0.72782,0.4074,1.70916,1.15434,2.75492,0.0001884,0.0001884,0.0001884
144,9123.62,0.62026,0.3703,1.24135,0.80202,0.68005,0.72806,0.4082,1.70715,1.15197,2.75594,0.0001686,0.0001686,0.0001686
145,9187.08,0.61653,0.36956,1.23968,0.80102,0.68121,0.72937,0.40786,1.70711,1.15218,2.7598,0.0001488,0.0001488,0.0001488
146,9250.24,0.61152,0.36918,1.23685,0.80636,0.67885,0.7294,0.4079,1.70743,1.15333,2.76439,0.000129,0.000129,0.000129
147,9313.38,0.60645,0.36258,1.22733,0.80262,0.68057,0.72978,0.40784,1.7078,1.15357,2.76874,0.0001092,0.0001092,0.0001092
148,9376.43,0.59919,0.3623,1.2233,0.80491,0.68024,0.73002,0.40855,1.70796,1.15445,2.77263,8.94e-05,8.94e-05,8.94e-05
149,9439.56,0.60203,0.3637,1.23053,0.81202,0.67517,0.73,0.40898,1.70805,1.15422,2.77712,6.96e-05,6.96e-05,6.96e-05
150,9502.46,0.59666,0.35756,1.21892,0.81418,0.67505,0.72992,0.40865,1.70775,1.15374,2.78084,4.98e-05,4.98e-05,4.98e-05
